term,weight
call,0.0221796732309686
ok,0.01763150062261649
get,0.014065730411411022
gt,0.011699562518333841
come,0.011669783194960268
lt,0.011591558747734154
ur,0.011352329735622467
got,0.010956287527574368
good,0.010616371233316466
sorry,0.010445828454002886
know,0.010330321569443681
go,0.010272657591002042
free,0.00996670357390617
later,0.009886411592690235
home,0.009779601532338237
time,0.009445485217991403
day,0.009023697074135749
like,0.009018426034612819
da,0.00899982785540971
going,0.008919505461264056
want,0.008844897576796672
lor,0.008763297848606542
love,0.007986070511216048
send,0.007967214852463841
still,0.007727864205433996
text,0.007630077353281267
need,0.007314035548096265
today,0.007185817551761411
take,0.007094300877457988
see,0.007078858310468353
dont,0.006789863664266902
please,0.006718906750252924
one,0.0066177262988328725
back,0.006614004393027045
wat,0.006544495048279075
oh,0.006279765232950606
new,0.006167519509344347
dear,0.006164010542047253
hi,0.006111722696211744
tell,0.006067342151592743
think,0.005922713794434916
hey,0.005834489287071452
pls,0.005831976851243305
stop,0.005788577401831844
yes,0.0057759570067298475
way,0.005766838189952662
great,0.005762174794134305
yeah,0.005758909062897907
txt,0.0057297542767398325
phone,0.00568055758182989
work,0.005606454200405761
anything,0.005521019500108215
well,0.005421069292048346
na,0.005412058027046917
message,0.0054058005828685795
right,0.005349188562915426
night,0.005291096879756655
reply,0.005239309590307292
hope,0.005174205638787099
much,0.004987755291382904
tomorrow,0.004933163609989536
week,0.004900282532879882
pick,0.004768643058314383
happy,0.004720294817612005
number,0.00467709323847459
already,0.0046595905834269456
thanks,0.004658171676894256
mobile,0.004650586306091843
wan,0.004512974222677423
claim,0.004503999298116367
ask,0.004490201119755633
give,0.004475062388433106
make,0.004414236474112568
lol,0.004361712905056852
say,0.004306087641886151
msg,0.004275951024836142
late,0.0040674601767037855
babe,0.003958142016058677
meet,0.003951549262742905
cash,0.003935143962616364
min,0.0038790666317405913
sure,0.003856709252042414
really,0.0038524773007477626
also,0.0038197581334449855
said,0.003817586047583326
tonight,0.0038070622155712977
meeting,0.0037981039415781294
im,0.0037820213179331455
prize,0.0037765603790057903
coming,0.0037675998987744775
miss,0.0037633956707806954
sent,0.00374438492729571
morning,0.0037417441014657507
care,0.003715394311551843
buy,0.003682924635055675
class,0.0035985469531671335
yup,0.003587850023492122
waiting,0.0035868801375310384
first,0.00358678770111124
amp,0.00349956764365424
